Manuscrit,Numérisation,Notes
"Luxembourg, B.N., 144",/,
"Madrid, Biblioteca Nacional de España, 251",Manoscritti giuridici medievali,
"Madrid, Biblioteca Nacional de España, 11962",,
"Madrid, Biblioteca Nacional de España, C37 (1876)",Manoscritti giuridici medievali,
"Madrid, Fund. Lázaro. Galdiano 440",/,
"Madrid, Universidad Central, Bibl. de la Facultad de Derecho, vo. 1137",/,
"Mainz, Stadtbibl. II 204",/,
"Malibu, Getty Ludwig XIV 2",/ Select images available from J. Paul Getty Museum,
"Marburg, Universitätsbibl. 33",Manoscritti giuridici medievali,
"Melk, Stiftsbibl. 518",/,
"Milano, Bibl. Ambrosiana H.94 sup.",Manoscritti giuridici medievali,
"Modena, Bibl. Estense a.R.4.16",?,
Montecassino 64.20,/,
Montecassino 66,Manoscritti giuridici medievali,
"Montecassino, Biblioteca Abbaziale 136",Manoscritti giuridici medievali,
"Montecassino, Biblioteca Abbaziale 386",MF à l’IRHT,
"Montecassino, Biblioteca Abbaziale  396",Manoscritti giuridici medievali[?],
"München, Bayerische Staatsbibl., lat. 1131",/,
"München, Bayerische Staatsbibl., lat. 3879",https://mdz-nbn-resolving.de/details:bsb00106233,
"München, Bayerische Staatsbibl., lat. 4505",https://mdz-nbn-resolving.de/details:bsb00041810,
"München, Bayerische Staatsbibl., lat. 4555",Manoscritti giuridici medievali,
"München, Bayerische Staatsbibl., lat.6352",https://mdz-nbn-resolving.de/details:bsb00115077,
"München, Bayerische Staatsbibl., lat. 8013",https://mdz-nbn-resolving.de/details:bsb00092543,
"München, Bayerische Staatsbibl., Clm. 10244",https://mdz-nbn-resolving.de/details:bsb00026739Bad quality,
"München, Bayerische Staatsbibl., Clm. 10247",https://mdz-nbn-resolving.de/details:bsb00085241,
"München, Bayerische Staatsbibl., lat. 14024",https://mdz-nbn-resolving.de/details:bsb00032724,
"München, Bayerische Staatsbibl., Clm. 16084",https://mdz-nbn-resolving.de/details:bsb00026738,
"München, Bayerische Staatsbibl., Clm 19134",urn:nbn:de:bvb:12-bsb00105036-2,
"München, Bayerische Staatsbibl., lat. 23551",https://mdz-nbn-resolving.de/details:bsb00113499,
